_id,Remedies
656aaa7c64aaf999f4d553d1,January me mil jayega ladka bahut achha hoga 
656b3c49b8711eaac467a826,अभी सोचती है आपके बारे में आप टेंसन न लो सही समय का इंतज़ार करो अच्छा समय आएगा।    आप 8 दिसंबर के बाद उन्हें कॉल करे बाकी 22 जनवरी के बाद उनका आने के चान्स है
656b3e35b8711eaac468a9bb,चींटी को आटा और चीनी मिलाकर दे माँ गौरी की आराधना करें 
656b4d08b8711eaac46c2cba,Red tara mantra unki photo pe hath rakhake apki icha bolke suniye 
656b4fc6b8711eaac46c7fb5,जी आपके लिए\n प्राथना कर देता हूँ
656c179a2d32774bed6de926,I want to share remedies please contact 
656df08a2d32774bedc4339a,Put pinch of turmeric powder in the water and take bath every day for early marriage.\nCan also offer water to banana tree mixed with turmeric powder every Thursday.If possible can do fasting of Thursday also.
656dfc072d32774bedc5a471,Reed diffuser\nFragrance of WHITE SAGE or FRANKINCENSE or SANDALWOOD\n\nIf can wear bracelet then bracelet of SELENITE and AMYTHEST combination in one bracelet 
656ed6aa2d32774bedee33e1,Abhi to uska Sara focus paison per hai abhi tumko Fab Tak Ho contact karegi January February Tak
656edc9c2d32774bedf0dfb8,Please listen to mahamrittunjay mantra at least 30mins a day
656ee2222d32774bedf25088,Chandrma ko upasna
656f014b2d32774bedfbd976,Inki Jo feeling a rahi hai unko lekar ke unki taraf se bhi ine logon ka rishta bahut achcha nahin chal raha hai bahut dhimi gati se chal raha hai kuchh khas to chalte hue nahin dikh raha hai but han कभी-कभी main bhi thoda bahut halka fulka baat Ho jata hoga Ghar walon Ko lekar bahut jyada Ishu hai un donon ke bich mein jinka feeling poochh rahe the na to Shayad unke Ghar walon ke bich mein bahut problem hai unke Ghar wale inko aasani se Ghar se Na nikalne dete Ho Ghar se relative pabandiyan jyada dikhai de rahi hain ine logon ke rishte mein
656f05132d32774bedfce5a8,Yah abhi kuchh samay to aapke liye Shayad ho sakta hai ignore karenge aur aapke message ka jawab nahin denge lekin yah kuchh aapke liye 1 manth ya 1 hafte ke andar andar aapko jawab jarur denge Aisa dikhai de raha hai matlab baat karenge yah aapse Aisa nahin hai baat nahin karenge but thoda samay lag sakta hai ek hafta ya ek manth ka Aisa dikhai de raha hai
656f293e2d32774bed05a0f6,"Nhi,aisi Baat nhi.uska friend chahta h,wo nhi.after 7 week aapko call Karengi. Om namah shivay ka Jaap krte rhe.I will pray for you 🙏 "
65713e4303c091f96ea999c8,Write affirmations in a diary with a red pen before you go to be if you want the love of your life to come to you beta. 
6571759d03c091f96eb2e666,Voice notes related to your queries sent in voice notes on guruji app
6571e09f03c091f96ecb606c,Offer water to Sun daily in the morning chant Surya mantra and Gayatri Mantra regularly for better future career.\nFeed birds and Street dogs and also ants with wheat flour and jaggery to remove the obsticals from your life.\nCan also offer water to peeple tree every day in the morning and lit mustard oil Diya in the evening except Sunday.
6572cb2ea0f01dff9c67acf1,Good morning 
657361ac9eeb53910f229d19,Put pinch of turmeric powder in the water and take bath every day for early marriage.\nOffer water to banana tree mixed with turmeric powder every Thursday if possible can do fasting of Thursday for early marriage.
65740bbf858de4867b305bdf,Mam please call me i want to suggest some remedies and please rate and review my consultation 
657440b9858de4867b3bedd8,Plz rate my consultation 
6575c74b858de4867b5e7d1e,Remedies karo...one month mein focus to definitely lagega..exam clear kar loge agar attempt Kiya poora to.....kuch bhi likh k aao but pura attempt kar k aana....clear ho jaayega...sab cheezen atleast one month Bina break k use Karo.\nEk aur kaam karna ..jab bhi paani pio....kaanch k glass mein paani bharo..paani mein dekhte huye 9 times bolo ..... I AM HEALTHY AND SUCCESSFUL PERSON...yeh sentence paani mein 9 times dekhte huye bolne k  baad paani pee jao...har baar aise hi paani piyo... definitely ek month mein aapko positivity dikhegi
6575d0c4858de4867b5f65a5,To bring love in your life do chanting of this switch word as many times as you can with full positivity.\n\nBRING -ON-LOVE-DIVINE 
65769820858de4867b722d35,Hello
657831c3858de4867ba72c3e,Hello 
65789005858de4867bbd4190,आज भी सोचा रात को १२  बजे जल्दी कॉल आएगा आपके पास
657926b8858de4867bc456bf,Mangal ki drashti Pancham par hai isliye problem hai Mangal ka upay kijiye baat hone lagegi 10day me
65795ebe858de4867bce8656,Hello
6579ef505ed481acffaa926b,Hlw sir now you can connect 
657a08bc5ed481acffab81a1,Hlw sir now you can connect 
657a10f15ed481acffabb26a,ॐ द्रां द्रीं द्रौं सः शुक्राय नमः\nऊं प्राँ प्रीं प्रौं सः शनैश्चराय नमः
657a6e275ed481acffad54dd,Pls wait 5 minit 
657aa5105ed481acffb5551f,Both career choices will work for you. by 2025 results will start showing.  
657ab5c75ed481acffb985e4,"listen to maha mrittunjay mantra beta, 1hr. "
657b094b42befbc88b0763cd,Hlw please now you can connect 
657b109c42befbc88b08381e,"Om nmo Bhagwate vasudevay namah ka Jaap jyada se jyada kre,subah uthte hi Shivani ji k call ko imagine kre.3 days me call aane ki chance h.I will pray for you bhai"
657bfad942befbc88b210e5c,Hello 
657c083442befbc88b238bb6,Hello 
657c638c42befbc88b363ccd,⭐Take care of plant.\n⭐Swallow Tulsi in the morning but don't bite it.\n ⭐Give smile to yourself in the morning 
657c7e0c42befbc88b3d4ed8,Pls connect again for more information 
657d426b42befbc88b576abd,Now you can connect 
657e8eda86ae8cd7f129a17e,Be positive ✨️ 
657e8f2586ae8cd7f129a8e7,Wolf magic begin now\n1176\n714(blue pen)\nplz do feedback and review on consultantion 
657ec5b486ae8cd7f1355c61,Now you can connect 
657ed81e86ae8cd7f137e05e,Connect with me at 5:30
657ee75986ae8cd7f13bd0ca,Your astrologer is online now 
657ff08386ae8cd7f16e86f1,Chant Balgopal mantra 21 times everyday
657ff1db86ae8cd7f16ebc37,Cleanse and detoxify is ur guidance 
658003cd86ae8cd7f175299b,You have to do some remedies I can tell please connect as I say when you conceive ur baby 
65804a7886ae8cd7f1961517,Hello souvik ji sorry for the inconveniences 
6580fd4886ae8cd7f1b188eb,Together bring divine love \nWolf magic begins now\n1176\n714 \nplz do feedback and review on consultantion\nThanku dear 
65811c2d86ae8cd7f1b6190c,"Search on google venus's beej mantra ...and chant it for 108 times with a mala of 108 beads ...or if you are not able to do it then just donate white things like sugar, rice or white sweets to poor people"
658121db9f1d81349963f984,Aap Surya ko jal chadhaye or jal subha 12 bje se phele phele chadhana h and chandrma k beej mantra kriye
6581332c9f1d813499674d42,Spell karva he team ko msg kardo
65816e1240cc32ce9abae332,Hi Ashwini...chat got disconnected. Kindly reconnect again 
6581711d40cc32ce9abb4398,From ur birth chart only i said. Learn data science and proceed for IT job search 
65825d2540cc32ce9ae7872e,Priyanka...please do a remedy for your career or job...chant budh's beej mantra....108 times and will help u a lot...google it u will find it 
6582963640cc32ce9af49c7d,Mam you can connect I will tell you remedies 
6582c31540cc32ce9a0144f2,Mam I want to tell remedies mam Surya mantra ka jaap kijiye ap subh subh or Surya Dev ko jal chadiyeee or uske sath Surya mantra ka jaap kijiye apki government job 2025 tak lg jayegi 
6582dba2ea042f85aa50ae97,Mam please connect I read your birth chart in detail I will tell the remedies please contact 
65831a5aea042f85aa5d5e39,Mam you can connect now I read your birth chart in detail now I can tell you remedy please contact me
658323edea042f85aa5fe224,May be tum bhi dundlo but love possibilities is very raree 
65842763ea042f85aa964f7e,5:15 se 6 hafte Tak ka Moti pahan lijiye Apne left hand ke little finger mein silver mein banvakar
65843216ea042f85aa99403c,Aap shaniwar ke din Sham ke samay sarson ke Tel ka Deepak Shani Mandir mein ya pipal ke ped ke pass jalaya Karen aur vahan per Kale til chadhaya Karen
658453925c1cf8bbc886634a,Be positive bhai\nLife ki khushiyan aapke hath me h...\nBe Happy \nI will always pray for you 
658480593959f1ec82ff8c47,Vakrtund mahakay Surya koti samaprabha nirvighnam kuru mein Dev sarvkaryeshu sarvada 7 Mantra in morning facing towards east direction
658551487811937f68346523,""" Glory to you,\nArchangel Micheal\nHeavenly governer!\nI will bow to you\nThree times;\nAs a sign of your greatness..\nPeople are in a hurry to bow to you, with requests and prayers.\nHelp me too send happiness; and the fulfillment of the my desires to my house let it come to me; find the way to me key to my words; lack to my deeds \nTruly\nArchangel Micheal\n( Ye 3 bar subh 3 bar sham kro 21 days ) results apne ap milege "
65855dcc7811937f68372921,Dear if are able to do then just do a remedy.....do Jupiter's beej mantra it will help u alot.....u will find it on Google 
6585696d7811937f683a5d9a,Abhi time lgega Puri trh khtm hone me.but hoga khtm
65856a3b7811937f683a762f,Sir if you want to remedy then please contact 
658570d17811937f683c78ac,Charitabhya shriya bhagya sampad
65868fc17811937f686c4e2f,Mam if you want to talk him then let me know i give you a remedies
6586ae2ec379a33106fa6a6c,Mam ap chate ho to main apko remedies bta deti hu love marriage ke liye
6586b22dc379a33106fafe44,Sir if you want remedies from me then please contact 
6586ceea0c8300e65cc95467,Sir if you want ki apki bat ho then I tell you remedies she will contact to you 
6586d05c0c8300e65cca1c73,Mam if you want to back him then I will tell remedies for that 
65872c44883c1bbae7ba140a,ऊं सों सौमाय नमः\n108 daily evening 
65873287883c1bbae7bc2800,Sir apne future prediction puchi hai and as I said government job nahi apki life mein me business se income generate hogi  
6587379a883c1bbae7bcd003,Sir if you want remedies then I give you please contact me
6589aa13883c1bbae7189299,Saritabhya Shreeya Bhagya Sampad ka Chaint Karen
658b1088883c1bbae752ee00,Every Friday mata ji ke mandir jaye white sweet ka parshaad chadhaye 
658b1df1883c1bbae7543855,Sir if you want remedies then please contact me i will give you remdies for your love marriage 
658be33a883c1bbae768f996,You have to do Surya namaskar i
658c3455883c1bbae77af4ce,Ashtdhatu ka kada Dakhineswar hath me dharan kare.morning me uthkr apna dono hath shake krke dakhe avam apna happy life imagine kare.rat me bhi yhi kare.i will pray for you..
658c3943883c1bbae77bee7f,Feed birds and Street dogs and also ants with wheat flour and jaggery to remove the obsticals.\nOffer water to Sun daily in the morning chant Surya mantra and Gayatri Mantra regularly for better future career.
658d3478883c1bbae7a511a4,There is marriage trouble in your husband horoscope
658d42b8883c1bbae7a800bc,Aap wapsh connect karo mujhe kuch important baat btani hai...
658d7c2d883c1bbae7b44c05,Charitabhya shriya bhagya Sampad ka chant kare
658d928c883c1bbae7b86117,Remdy krr lena ap me bta deta hu apko daily Surya ko jal dena start krdo and every Friday ap mata ji ke mandir jana start kreee 
658e9380883c1bbae7d629b7,Beta the chat got disconnected but I wanted to tell you give 15th January se planetary transit better hai aur third forth week of January main chances hain aap apply karo aur bhi opportunities a sakti hain yah 15 din ka time banaa hua hai
658e9b16883c1bbae7d88013,Sir please contact for marriage remedies and vo bhi abhi puri nahi btayi maine apko
658ea9f5883c1bbae7db4ca1,Reiki healing and rose quartz stone 
658eeb18883c1bbae7e984cc,Kisa Gaya new year aap. Ka theek ho app dono 
658ef601883c1bbae7efe528,Please connect again dear 
658ef89b883c1bbae7f0d0c4,Required some remedies kar sakte hain kya kindly connect  so that provide and uske bad improvement ayega
658f12f4883c1bbae7f69d8f,Light pink candle daily for love life
658f1f44883c1bbae7f8d71b,"Dear in the morning, I tried to wake up early, why don't I know something for you, I think it is necessary"
6590609f883c1bbae71d16b6,Do mantra chant of Somay namah
65924264883c1bbae73f9eaf,Together_divine_love (wife name)-pink or red pen\n1176(blue pen)\n714(blue pen)
6592531e883c1bbae740eb16,Yah remedy aapko Friday main karni hai ek koi kisi Garib bacche ko ya Dharm sthan per dena hai suryast Se pahle
6593aa41883c1bbae75c08ec,"सूर्य  को नियमित रूप से जल दे, आप judge बन जाएंगी , 2024 के अंत तक आपके विवाह के योग भी बन रहे है"
65946af4883c1bbae78064b7,Is karan
